English,Vietnamese
undertaken,thực hiện
estimates,ước tính
complexity,sự phức tạp
jerusalem,Jerusalem.
replication,nhân rộng
concluded,kết luận
henderson,Henderson.
reductions,giảm
manufacture,Sản xuất
continually,liên tục
attorneys,luật sư.
precisely,đúng
buildings,các tòa nhà
apparatus,Thiết bị
competitors,đối thủ cạnh tranh
riverside,ven sông.
coordinate,danh từ: Tọa độ
reduction,sự giảm bớt
considerations,cân nhắc
appliance,thiết bị
consultants,Tư vấn
unavailable,không có sẵn
integration,hội nhập
evaluation,đánh giá
accountability,trách nhiệm giải trình
implement,triển khai thực hiện
fellowship,tình bằng hữu
partially,một phần.
transfers,chuyển giao.
discretion,tùy ý
implications,hàm ý
committees,Ủy ban
sustainability,Sự bền vững
threshold,ngưỡng.
championships,Giải vô địch
empirical,thực nghiệm
prescription,đơn thuốc
containers,hộp đựng
substantial,đáng kể
tutorials,hướng dẫn
halloween,halloween.
newsletter,Bản tin.
notifications,thông báo.
attention,chú ý
caribbean,Caribbean.
cincinnati,cincinnati.
respondent,Bị đơn
practices,thực hành.
blackberry,BlackBerry.
accommodate,cung cấp
compliant,tuân thủ
employees,người lao động
mechanics,Cơ học.
restrictions,những hạn chế
emissions,khí thải.
reactions,phản ứng
recordings,Bản ghi âm
telecommunications,Viễn thông
benchmark,chuẩn mực
columnists,chuyên mục
ingredients,Thành phần
alternatively,Hoặc
understood,hiểu
typically,tiêu biểu
psychological,tâm lý.
antibodies,kháng thể
specifically,đặc biệt
institutions,thể chế
associates,cộng sự
receivers,người nhận
compliance,sự tuân thủ
governmental,Chính phủ.
initiatives,khả năng phán đoán
microphone,cái mic cờ rô
emotional,đa cảm
interference,sự can thiệp
certainly,chắc chắn
comparative,so sánh
personals,cá nhân.
characterized,đặc trưng
stationery,Văn phòng phẩm
corruption,tham nhũng.
practitioners,học viên
enlargement,mở rộng.
completion,hoàn thành
percentage,Tỷ lệ phần trăm.
including,bao gồm
described,mô tả
constructed,xây dựng
transcripts,bảng điểm
legislative,lập pháp
development,sự phát triển
complaint,lời phàn nàn
operation,hoạt động
termination,Chấm dứt
recycling,tái chế
compromise,sự thỏa hiệp
curriculum,chương trình giảng dạy
diversity,đa dạng
edinburgh,Edinburgh.
indicating,chỉ ra
concentrations,nồng độ.
subscriber,người đăng kí
represents,đại diện
shareholders,Cổ đông
satisfaction,sự thỏa mãn
laboratory,phòng thí nghiệm
inclusion,bao gồm
sociology,Xã hội học.
subsequent,tiếp theo
scientist,nhà khoa học.
departments,Sở.
automobiles,ô tô
maintains,duy trì
portuguese,Bồ Đào Nha
directory,danh mục
prohibited,Cấm
advertisements,quảng cáo
previously,trước đây
beautifully,Đẹp
appreciate,đánh giá cao
sensitive,nhạy cảm
bracelets,vòng tay.
luxembourg,Luxembourg.
reliability,độ tin cậy
encouraging,khuyến khích.
victorian,Victoria.
republicans,Cộng hòa
